GrainID	Phase	phi1	Phi	phi2
1	Magnesium	0.0139682135818902	1.60093987175646	4.15496426137419
2	Magnesium	1.99881648032722	0.270464731661297	3.80526125105344
3	Magnesium	3.09058610214304	1.81549171639503	3.19394560154825
4	Magnesium	1.99962736343297	0.272200550067898	3.8165194524663
5	Magnesium	3.08475779430525	1.81502013661497	3.19102306113162
6	Magnesium	3.11043903800598	1.5752092254725	4.11108292268444
7	Magnesium	1.16943285377128	2.6512073310171	3.7800519255312
8	Magnesium	3.08511979967502	1.83291116135161	3.19610475990533
9	Magnesium	2.29261453801921	0.474510914579409	3.51878915931293
10	Magnesium	2.67112721158121	0.326981150302661	3.55204956003383
11	Magnesium	1.54888957505307	0.378423935085646	3.1523251092444
12	Magnesium	0.088552788024443	1.35825113246643	3.37659262230025
13	Magnesium	1.39302643956588	0.446758319018726	3.29492697882273
14	Magnesium	3.11513511420229	2.06868152379404	4.13890271088929
15	Magnesium	1.6516070052675	2.53008550631731	3.239358582102
16	Magnesium	0.197764052261199	1.12317702031386	3.48095286413153
17	Magnesium	2.22934809908736	0.625282408153692	3.3760319886696
18	Magnesium	2.85144755848032	1.94982579803549	3.24960670661867
19	Magnesium	2.7616943707656	1.75658502829465	3.15021671545469
20	Magnesium	3.11123039174707	1.56316527734002	4.10645328064075
21	Magnesium	0.89193760316193	0.600526235076366	3.76642773930021
22	Magnesium	2.76681207721108	1.75475428660202	3.14810436173603
23	Magnesium	1.01094622347291	2.62365633031871	3.94277481521163
24	Magnesium	1.4027397463011	0.444791074697449	3.28215559553547
25	Magnesium	1.63901327851198	2.53931395415452	3.2326231947481
26	Magnesium	2.71115997692343	0.324782874096845	3.52969181297141
27	Magnesium	2.77189256911672	1.75304026365725	4.19113093867089
28	Magnesium	0.525631943402506	1.31012310109737	3.39447782397058
29	Magnesium	3.11634797736588	1.55390168696034	4.10466685363932
30	Magnesium	2.68939257129324	0.321568169360328	3.54254699336945
31	Magnesium	1.97520629710755	2.52340371044228	3.75687498799381
32	Magnesium	0.515562867217647	1.30958071267343	3.40021459065066
33	Magnesium	2.7768605841377	0.32152612235919	3.4755857780534
34	Magnesium	3.00806738995489	1.25454650572874	3.13217864930448
35	Magnesium	0.337821465736123	1.38954364724884	3.83183446559266
36	Magnesium	0.793614732660334	2.44322847795077	3.35862414741752
37	Magnesium	0.363406651926826	1.37084252971503	3.8389607062896
38	Magnesium	0.210925973694652	1.26842098781034	3.15616502618604
39	Magnesium	0.191975424581909	1.09119512572304	3.49565063154004
40	Magnesium	1.26444712654792	2.92828875199339	3.52330849329816
41	Magnesium	0.60495503067124	1.02294933635483	3.86215271519895
42	Magnesium	1.00837952208518	2.63988945142983	4.00800008659711
43	Magnesium	1.4115234754945	2.23682758851076	3.44472146532621
44	Magnesium	0.340393537847707	1.36100465558829	3.83988400728901
45	Magnesium	2.19548998200723	0.544655337393645	3.70456586908457
46	Magnesium	1.38621120356294	2.57128614674565	3.70960225924036
47	Magnesium	0.784354606433725	2.44043854865282	3.33966395223264
48	Magnesium	2.98669460965875	0.59144875048825	4.03645659500849
49	Magnesium	1.40753219469474	2.23391152879666	3.43851960428371
50	Magnesium	3.01276762786362	2.1692273972417	4.16833309546307
51	Magnesium	1.22220092319245	2.50076726595138	3.56216192814651
52	Magnesium	1.24231493520403	2.92807880128646	3.49846727524617
53	Magnesium	1.2225945791317	2.50152699560716	3.56399954383138
54	Magnesium	0.344582901117448	1.37288739369428	3.82886772364209
55	Magnesium	3.01655113302278	1.23120955332947	4.10995221473666
56	Magnesium	1.21763888670835	2.50253423305065	3.55534942624707
57	Magnesium	1.79917463126663	2.48599643604578	3.61612352615735
58	Magnesium	0.284285070540506	0.92568387618613	3.41946539363159
59	Magnesium	1.93498547492138	2.41810795508383	3.77625435927833
60	Magnesium	2.14082429283081	0.561215096993493	3.7399921328484
61	Magnesium	1.95460235151771	2.41003318330274	3.78995729302083
62	Magnesium	1.24026245854704	2.52569617174319	3.56816594942439
63	Magnesium	0.208353056135895	1.25805090026584	4.1939620648843
64	Magnesium	1.0178525592274	2.65950327812142	4.13820953938226
65	Magnesium	2.96576599476162	2.10774522394304	3.76407367384413
66	Magnesium	0.749293917287584	0.575316349874238	3.90396949841661
67	Magnesium	0.542649429515455	1.20697786532436	3.92573069545211
68	Magnesium	0.180353121564467	1.54986462183061	4.04490448039358
69	Magnesium	0.162567849818787	1.5340989876145	4.04586954444155
70	Magnesium	0.150054040439308	1.54448308673038	4.05351971112436
71	Magnesium	2.52170890468886	0.155153449660191	4.17411919258559
72	Magnesium	1.46158541311715	0.770385605135835	3.6325721883242
73	Magnesium	0.516179116187752	1.16997753706067	3.90880256219081
74	Magnesium	2.58427578455142	1.91164702541794	3.30944922212318
75	Magnesium	2.31004199271729	0.810963083647311	3.75440127748
76	Magnesium	1.15687892465989	2.74166970118478	3.22252738310233
77	Magnesium	0.508047014660864	1.19068827624389	3.9096023645531
78	Magnesium	1.10252300202809	2.68039715475786	3.15819395330202
79	Magnesium	0.519619672910531	1.22826593906409	3.90694467750611
80	Magnesium	1.16593523538524	2.75452114028983	3.22722549036154
81	Magnesium	1.71404049378235	2.76818371601746	4.16638538849451
82	Magnesium	3.00428070534425	1.19789744976826	4.09844775191548
83	Magnesium	3.13592915017167	2.21579108425303	4.00531073251916
84	Magnesium	0.275202037909498	0.593258014598793	3.68316022545046
85	Magnesium	3.02793945961423	1.79310142383409	3.75282013270831
86	Magnesium	2.99041621899815	2.15443331078426	3.8765895002644
